Rk,Player,Pos,Team,Gms,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,PPG,Fantasy Points
57,Richard Bartel,QB,ARI,2,10,22,46,86,4,1,1,52,1,9,9,0,3.2,6.34
58,Matt Leinart,QB,HOU,2,10,13,77,57,4,1,0,110,1,-1,-1,0,3.1,6.18
59,Charlie Batch,QB,PIT,4,15,24,63,208,9,0,1,73,3,-2,-1,0,1.5,6.12
60,Chris Redman,QB,ATL,5,18,28,64,188,7,0,1,69,5,-6,-1,0,1,4.92
61,Kyle Boller,QB,OAK,2,15,28,54,161,6,0,3,31,9,38,4,0,2.1,4.24
62,Luke McCown,QB,JAX,4,30,56,54,296,5,0,4,39,7,23,3,0,1,4.14
63,Jon Kitna,QB,DAL,3,6,10,60,87,9,1,2,82,3,-2,-1,0,1.1,3.28
64,JP Losman,QB,MIA,2,6,10,60,60,6,0,0,77,2,1,1,0,1.2,2.50
65,Shaun Hill,QB,DET,2,2,3,67,33,11,0,0,103,1,-1,-1,0,0.6,1.22
66,Colin Kaepernick,QB,SF,3,3,5,60,35,7,0,0,81,2,-2,-1,0,0.4,1.20
67,Mark Brunell,QB,NYJ,16,1,3,33,27,9,0,0,67,0,0,0,0,0.1,1.08
68,Tyrod Taylor,QB,BAL,3,1,1,100,18,18,0,0,119,1,2,2,0,0.3,0.92
69,Chase Daniel,QB,NO,16,4,5,80,29,6,0,0,91,3,-3,-1,0,0.1,0.86
70,Brian Hoyer,QB,NE,3,1,1,100,22,22,0,0,119,4,-3,-1,0,0.2,0.58
71,Mike Kafka,QB,PHI,4,11,16,69,107,7,0,2,48,3,0,0,0,0.1,0.28
72,Tom Brandstater,QB,LAR,1,0,2,0,0,0,0,0,40,0,0,0,0,0,0
73,Rudy Carpenter,QB,TB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Derek Anderson,QB,CAR,2,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.1,-0.20
75,Billy Volek,QB,LAC,2,0,0,0,0,0,0,0,0,5,-5,-1,0,-0.2,-0.50
